Size,Type,Sort,TimeMs,CharComparisons
2900,Reverse,msd_radix,1.0846,6991
2900,Reverse,msd_radix_quick,0.45434,49563
2900,AlmostSorted,std_sort,0.17454,49337
2900,AlmostSorted,std_stable_sort,0.1973,36658
2900,AlmostSorted,string_quick,0.64754,85518
2900,AlmostSorted,merge_lcp,5.9832,12855
2900,AlmostSorted,msd_radix,1.09124,6951
2900,AlmostSorted,msd_radix_quick,0.22612,21458
3000,Random,std_sort,0.73024,62113
3000,Random,std_stable_sort,0.86488,46386
3000,Random,string_quick,0.94622,37012
3000,Random,merge_lcp,8.73904,27864
3000,Random,msd_radix,1.46858,7259
3000,Random,msd_radix_quick,0.30892,16983
3000,Reverse,std_sort,0.24632,44170
3000,Reverse,std_stable_sort,0.3603,22895
3000,Reverse,string_quick,1.89764,146713
3000,Reverse,merge_lcp,9.52106,11002
3000,Reverse,msd_radix,1.82298,7225
3000,Reverse,msd_radix_quick,1.0987,51188
3000,AlmostSorted,std_sort,0.37424,56863
3000,AlmostSorted,std_stable_sort,0.5508,37221
3000,AlmostSorted,string_quick,1.74704,89736
3000,AlmostSorted,merge_lcp,14.5656,13247
3000,AlmostSorted,msd_radix,2.2416,7206
3000,AlmostSorted,msd_radix_quick,0.48244,22152
